state	AL	32.31823	-86.902298
state	AR	34.79999	-92.199997
state	CO	39.113014	-105.35888
state	CT	41.5999	-72.69997
state	DC	38.89511	-77.03637
state	DE	39	-75.5
state	GA	33.247875	-83.44116
state	IA	42.032974	-93.581543
state	ID	44.068203	-114.742043
state	IL	40	-89
state	KS	38.5	-98
state	KY	37.839333	-84.27
state	LA	30.39183	-92.329102
state	MA	42.407211	-71.382439
state	MD	39.045753	-76.641273
state	MI	44.182205	-84.506836
state	MS	33	-90
state	MT	46.96526	-109.533691
state	NC	35.782169	-80.793457
state	ND	47.650589	-100.437012
state	NE	41.5	-100
state	NJ	39.833851	-74.871826
state	OH	40.367474	-82.996216
state	OK	36.084621	-96.921387
state	OR	44	-120.5
state	PA	41.203323	-77.194527
state	RI	41.7	-71.5
state	SC	33.836082	-81.163727
state	SD	44.5	-100
state	TN	35.860119	-86.660156
state	TX	31	-100
state	VA	37.926868	-78.024902
state	VT	44	-72.7
state	WA	47.751076	-120.740135
state	WI	44.5	-89.5
state	WV	39	-80.5
state	WY	43.07597	-107.290283
